Bea Dasar,Htnb,Total,Harga Barang,Berat Kiriman,Jarak (KM)
34000.0,960.0,34960.0,400000.0,1.0,1042.2973943847633
28000.0,500.0,28500.0,200000.0,0.5,55.55032781396466
19000.0,0.0,19000.0,15000.0,0.15,59.97295110345033
17000.0,1920.0,18920.0,800000.0,2.6,12.435855669527326
18500.0,500.0,19000.0,200000.0,1.0,123.70106993146236
49000.0,500.0,49500.0,200000.0,2.0,119.56175837218476
34000.0,500.0,34500.0,200000.0,2.0,1020.854626057186
22000.0,0.0,22000.0,122000.0,0.23,106.40146151178516
10500.0,0.0,10500.0,42500.0,0.25,29.68507338875069
44000.0,960.0,44960.0,400000.0,0.7,824.7892113201048
33500.0,500.0,34000.0,200000.0,1.0,292.0158861890914
38500.0,1440.0,39940.0,600000.0,0.2,797.5809246903041
18500.0,1440.0,19940.0,600000.0,1.0,123.70106993146236
34000.0,960.0,34960.0,400000.0,1.0,1027.813823482557
17000.0,500.0,17500.0,19000.0,1.0,37.23860419131993
32000.0,960.0,32960.0,400000.0,1.0,219.19671002094788
29000.0,960.0,29960.0,400000.0,1.0,252.4652679655452
11000.0,0.0,11000.0,30500.0,0.2,101.14276679835484
34000.0,960.0,34960.0,400000.0,1.0,1051.9940765794777
34000.0,960.0,34960.0,400000.0,1.0,1027.522420572668
10500.0,0.0,10500.0,244695.62225519287,0.1,29.68507338875069
557000.0,12000.0,569000.0,5000000.0,100.0,307.9295489116877
13500.0,0.0,13500.0,40000.0,1.0,12.435855669527326
18500.0,500.0,19000.0,200000.0,1.0,123.70106993146236
24500.0,500.0,25000.0,200000.0,1.0,119.56175837218476
24500.0,500.0,25000.0,200000.0,1.0,119.56175837218476
34000.0,960.0,34960.0,400000.0,0.2,1020.854626057186
27000.0,960.0,27960.0,400000.0,1.0,229.1555417742884
17000.0,960.0,17960.0,400000.0,1.0,37.23860419131993
13500.0,500.0,14000.0,200000.0,0.1,65.59090586250932
9000.0,960.0,9960.0,400000.0,0.1,123.70106993146236
13500.0,0.0,13500.0,35000.0,0.15,65.59090586250932
144000.0,960.0,144960.0,400000.0,3.5,645.7234713929311
24500.0,500.0,25000.0,200000.0,1.0,119.56175837218476
13500.0,500.0,14000.0,200000.0,1.0,65.59090586250932
45000.0,960.0,45960.0,400000.0,1.0,203.73441379216487
10500.0,500.0,11000.0,200000.0,1.0,44.5050466251696
24500.0,500.0,25000.0,200000.0,1.0,119.56175837218476
1813500.0,12000.0,1825500.0,5000000.0,120.0,668.8042906399945
34000.0,960.0,34960.0,400000.0,1.0,1027.522420572668
32000.0,960.0,32960.0,400000.0,1.0,219.19671002094788
9000.0,0.0,9000.0,39498.0,0.25,119.56175837218476
34000.0,960.0,34960.0,400000.0,1.0,1020.854626057186
9000.0,0.0,9000.0,244695.62225519287,1.0,123.70106993146236
13500.0,500.0,14000.0,200000.0,1.0,65.59090586250932
10500.0,500.0,11000.0,200000.0,1.0,29.68507338875069
34000.0,960.0,34960.0,400000.0,1.0,1042.2973943847633
34000.0,960.0,34960.0,400000.0,1.0,1027.813823482557
34000.0,960.0,34960.0,400000.0,0.2,605.0245981644293
9000.0,588.0,9588.0,245000.0,0.8,123.70106993146236
29000.0,2160.0,31160.0,900000.0,1.2,252.4652679655452
17000.0,0.0,17000.0,50000.0,0.2,37.23860419131993
13500.0,0.0,13500.0,50000.0,0.2,65.59090586250932
13500.0,0.0,13500.0,50000.0,0.2,65.59090586250932
18500.0,1440.0,19940.0,600000.0,0.2,123.70106993146236
56000.0,4080.0,60080.0,1700000.0,3.7,125.88635998464376
42000.0,500.0,42500.0,200000.0,1.0,902.8010168021436
42000.0,500.0,42500.0,200000.0,1.0,950.940277503207
34000.0,500.0,34500.0,200000.0,1.0,1042.2973943847633
36000.0,500.0,36500.0,200000.0,1.0,643.9186187639831
34000.0,960.0,34960.0,400000.0,1.0,1051.9940765794777
18500.0,500.0,19000.0,200000.0,1.0,123.70106993146236
19000.0,500.0,19500.0,21500.0,1.0,59.97295110345033
34000.0,960.0,34960.0,400000.0,1.0,1027.522420572668
9000.0,960.0,9960.0,400000.0,1.0,123.70106993146236
9000.0,960.0,9960.0,400000.0,1.0,119.56175837218476
9000.0,960.0,9960.0,400000.0,0.2,123.70106993146236
38000.0,960.0,38960.0,400000.0,1.0,539.411885738438
9000.0,960.0,9960.0,400000.0,1.0,119.56175837218476
34000.0,960.0,34960.0,400000.0,0.1,1027.522420572668
9000.0,0.0,9000.0,30000.0,0.1,119.56175837218476
18500.0,500.0,19000.0,200000.0,1.0,123.70106993146236
33500.0,500.0,34000.0,200000.0,1.0,478.5225854231896
10500.0,500.0,11000.0,200000.0,1.0,44.5050466251696
24000.0,960.0,24960.0,400000.0,1.0,182.3793903638088
37000.0,960.0,37960.0,400000.0,2.2,123.70106993146236
8500.0,960.0,9460.0,400000.0,1.0,12.435855669527326
102000.0,960.0,102960.0,400000.0,2.5,1059.8143237820004
27000.0,0.0,27000.0,135000.0,0.8,229.1555417742884
28000.0,960.0,28960.0,400000.0,1.0,159.1376810497143
9000.0,0.0,9000.0,51000.0,0.1,119.56175837218476
14000.0,0.0,14000.0,47990.0,0.05,167.51113249862598
17000.0,0.0,17000.0,135000.0,0.05,125.88635998464376
41000.0,960.0,41960.0,400000.0,1.0,967.9248442088904
42000.0,960.0,42960.0,400000.0,0.2,940.662020717249
18500.0,1440.0,19940.0,600000.0,1.0,123.70106993146236
24500.0,500.0,25000.0,200000.0,0.3,119.56175837218476
68000.0,960.0,68960.0,400000.0,1.6,1020.854626057186
9000.0,960.0,9960.0,400000.0,1.0,123.70106993146236
44000.0,960.0,44960.0,400000.0,1.0,775.8627429965593
42000.0,588.0,42588.0,245000.0,4.2,44.5050466251696
9000.0,0.0,9000.0,155999.0,0.1,123.70106993146236
36000.0,960.0,36960.0,400000.0,1.0,679.256058278359
34000.0,960.0,34960.0,400000.0,1.0,606.5573714863874
10500.0,500.0,11000.0,200000.0,1.0,44.5050466251696
17000.0,500.0,17500.0,200000.0,0.2,37.23860419131993
18500.0,960.0,19460.0,400000.0,0.2,123.70106993146236
18500.0,1440.0,19940.0,600000.0,0.2,123.70106993146236
34000.0,960.0,34960.0,400000.0,1.0,1027.813823482557
17000.0,960.0,17960.0,400000.0,1.6,12.435855669527326
24500.0,500.0,25000.0,200000.0,1.0,119.56175837218476
22000.0,0.0,22000.0,79997.0,0.35,106.40146151178516
9000.0,0.0,9000.0,60000.0,0.05,123.70106993146236
8500.0,500.0,9000.0,200000.0,1.0,12.435855669527326
34000.0,960.0,34960.0,400000.0,1.0,1027.813823482557
54000.0,960.0,54960.0,400000.0,5.6,119.56175837218476
406000.0,19200.0,425200.0,8000000.0,100.0,125.88635998464376
9000.0,960.0,9960.0,400000.0,1.0,119.56175837218476
14000.0,960.0,14960.0,400000.0,1.0,101.25160265835382
18000.0,960.0,18960.0,400000.0,2.2,123.70106993146236
28000.0,960.0,28960.0,400000.0,1.0,55.55032781396466
34000.0,960.0,34960.0,400000.0,1.0,1027.522420572668
18500.0,5520.0,24020.0,2300000.0,1.0,123.70106993146236
68000.0,960.0,68960.0,400000.0,2.0,1020.854626057186
17000.0,0.0,17000.0,244695.62225519287,1.0,37.23860419131993
17000.0,0.0,17000.0,244695.62225519287,1.0,37.23860419131993
10500.0,0.0,10500.0,44000.0,0.93,29.68507338875069
29000.0,0.0,29000.0,150000.0,0.2,252.4652679655452
9000.0,0.0,9000.0,165000.0,0.25,119.56175837218476
10500.0,0.0,10500.0,19000.0,0.2,29.68507338875069
19000.0,0.0,19000.0,40000.0,1.0,59.97295110345033
8500.0,0.0,8500.0,226900.0,0.35,12.435855669527326
9000.0,960.0,9960.0,400000.0,1.0,119.56175837218476
34000.0,960.0,34960.0,400000.0,1.0,208.254310961311
14000.0,960.0,14960.0,400000.0,0.2,101.25160265835382
38500.0,960.0,39460.0,400000.0,0.6,993.1047070032586
11000.0,0.0,11000.0,150000.0,0.2,101.14276679835484
13500.0,960.0,14460.0,400000.0,1.0,65.59090586250932
9000.0,960.0,9960.0,400000.0,1.0,123.70106993146236
10500.0,960.0,11460.0,400000.0,1.0,29.68507338875069
68000.0,960.0,68960.0,400000.0,1.4,605.0245981644293
34000.0,960.0,34960.0,400000.0,1.0,1042.2973943847633
34000.0,500.0,34500.0,200000.0,1.0,1027.813823482557
13500.0,0.0,13500.0,98600.0,0.5,65.59090586250932
9000.0,0.0,9000.0,95000.0,0.1,119.56175837218476
66000.0,960.0,66960.0,400000.0,1.0,556.8597293111108
31500.0,500.0,32000.0,34000.0,1.8,44.5050466251696
182000.0,2400.0,184400.0,1000000.0,6.7,219.19671002094788
135000.0,2880.0,137880.0,1200000.0,4.9,292.0158861890914
29000.0,960.0,29960.0,400000.0,1.0,208.254310961311
13500.0,720.0,14220.0,300000.0,0.1,65.59090586250932
9000.0,720.0,9720.0,300000.0,0.1,119.56175837218476
11000.0,0.0,11000.0,216997.0,0.75,101.14276679835484
10500.0,0.0,10500.0,67498.0,0.31,44.5050466251696
34000.0,960.0,34960.0,400000.0,1.0,1027.522420572668
34000.0,960.0,34960.0,400000.0,1.0,1027.522420572668
34000.0,960.0,34960.0,400000.0,2.0,1020.854626057186
13500.0,0.0,13500.0,40000.0,1.0,65.59090586250932
13500.0,500.0,14000.0,200000.0,1.0,65.59090586250932
33500.0,500.0,34000.0,200000.0,0.5,292.0158861890914
66000.0,960.0,66960.0,400000.0,1.0,556.8597293111108
13500.0,500.0,14000.0,200000.0,1.5,65.59090586250932
9000.0,500.0,9500.0,200000.0,1.0,123.70106993146236
9000.0,960.0,9960.0,400000.0,1.0,119.56175837218476
77000.0,960.0,77960.0,400000.0,2.7,797.5809246903041
27000.0,2160.0,29160.0,900000.0,1.2,219.19671002094788
34000.0,720.0,34720.0,300000.0,0.1,1027.522420572668
11000.0,720.0,11720.0,300000.0,0.1,101.14276679835484
10500.0,720.0,11220.0,300000.0,0.1,29.68507338875069
33500.0,500.0,34000.0,36000.0,1.0,292.0158861890914
17000.0,0.0,17000.0,135000.0,0.05,125.88635998464376
18500.0,500.0,19000.0,200000.0,0.2,123.70106993146236
11000.0,960.0,11960.0,400000.0,0.2,101.14276679835484
34000.0,960.0,34960.0,400000.0,0.2,605.0245981644293
39000.0,960.0,39960.0,400000.0,1.0,742.2191541838523
132000.0,2640.0,134640.0,1100000.0,4.0,775.8627429965593
34000.0,960.0,34960.0,400000.0,0.2,605.0245981644293
55000.0,0.0,55000.0,400000.0,1.6,845.2640351736677
10500.0,0.0,10500.0,244695.62225519287,1.0,29.68507338875069
44000.0,0.0,44000.0,100000.0,1.0,730.1962016095016
10500.0,0.0,10500.0,244695.62225519287,1.0,44.5050466251696
10500.0,0.0,10500.0,244695.62225519287,1.0,29.68507338875069
28000.0,0.0,28000.0,244695.62225519287,1.0,159.1376810497143
28500.0,0.0,28500.0,244695.62225519287,1.0,307.9295489116877
33500.0,0.0,33500.0,244695.62225519287,1.0,478.5225854231896
17000.0,0.0,17000.0,244695.62225519287,1.0,37.23860419131993
32000.0,0.0,32000.0,244695.62225519287,1.0,154.98926142677865
38500.0,500.0,39000.0,20000.0,1.0,980.502937479797
47000.0,1920.0,48920.0,800000.0,1.6,208.254310961311
42000.0,0.0,42000.0,350000.0,0.4,902.8010168021436
13500.0,500.0,14000.0,200000.0,1.0,65.59090586250932
34000.0,960.0,34960.0,400000.0,1.0,1027.522420572668
8500.0,500.0,9000.0,200000.0,1.0,12.435855669527326
8500.0,500.0,9000.0,200000.0,1.0,12.435855669527326
14000.0,960.0,14960.0,400000.0,1.0,101.25160265835382
8500.0,500.0,9000.0,200000.0,0.2,12.435855669527326
8500.0,500.0,9000.0,200000.0,0.2,12.435855669527326
34000.0,960.0,34960.0,400000.0,1.0,279.3763268901962
18500.0,1440.0,19940.0,600000.0,0.2,123.70106993146236
14000.0,0.0,14000.0,52500.0,0.3,167.51113249862598
9000.0,0.0,9000.0,108999.0,0.2,123.70106993146236
19000.0,0.0,19000.0,169900.0,0.25,59.97295110345033
14000.0,0.0,14000.0,196500.0,0.3,101.25160265835382
14000.0,0.0,14000.0,385000.0,0.2,167.51113249862598
34000.0,960.0,34960.0,400000.0,1.4,1059.8143237820004
34000.0,960.0,34960.0,400000.0,1.0,1011.1974071898868
32000.0,1440.0,33440.0,600000.0,1.0,154.98926142677865
27000.0,2880.0,29880.0,1200000.0,1.0,229.1555417742884
18500.0,1440.0,19940.0,600000.0,0.2,123.70106993146236
34000.0,960.0,34960.0,400000.0,1.0,376.808736198566
222000.0,1200.0,223200.0,500000.0,3.7,1452.7723434994562
8500.0,500.0,9000.0,200000.0,1.0,12.435855669527326
11000.0,0.0,11000.0,40000.0,1.0,101.14276679835484
18500.0,500.0,19000.0,200000.0,1.0,123.70106993146236
76000.0,1200.0,77200.0,500000.0,2.3,521.7754956801477
9000.0,500.0,9500.0,200000.0,1.0,119.56175837218476
9000.0,500.0,9500.0,200000.0,1.0,119.56175837218476
9000.0,500.0,9500.0,200000.0,1.0,119.56175837218476
9000.0,500.0,9500.0,200000.0,1.0,119.56175837218476
34000.0,500.0,34500.0,200000.0,1.0,1020.854626057186
11000.0,500.0,11500.0,200000.0,1.0,101.14276679835484
38500.0,500.0,39000.0,200000.0,1.0,980.502937479797
9000.0,500.0,9500.0,200000.0,1.0,123.70106993146236
9000.0,500.0,9500.0,200000.0,1.0,123.70106993146236
9000.0,500.0,9500.0,200000.0,1.0,123.70106993146236
9000.0,500.0,9500.0,200000.0,1.0,123.70106993146236
9000.0,500.0,9500.0,200000.0,1.0,123.70106993146236
9000.0,500.0,9500.0,200000.0,1.0,123.70106993146236
34000.0,960.0,34960.0,400000.0,1.0,1042.2973943847633
9000.0,500.0,9500.0,200000.0,1.0,123.70106993146236
9000.0,500.0,9500.0,200000.0,1.0,123.70106993146236
68000.0,960.0,68960.0,400000.0,1.6,1020.854626057186
36000.0,960.0,36960.0,400000.0,0.7,639.372283419606
13500.0,0.0,13500.0,110250.0,1.2,65.59090586250932
18500.0,1440.0,19940.0,600000.0,0.1,123.70106993146236
18500.0,500.0,19000.0,200000.0,1.0,123.70106993146236
11000.0,500.0,11500.0,200000.0,0.3,101.14276679835484
9000.0,500.0,9500.0,200000.0,0.3,119.56175837218476
67000.0,600.0,67600.0,250000.0,2.1,292.0158861890914
28500.0,500.0,29000.0,200000.0,1.0,307.9295489116877
34000.0,960.0,34960.0,400000.0,1.0,605.0245981644293
22000.0,0.0,22000.0,139350.0,1.0,106.40146151178516
13500.0,500.0,14000.0,20000.0,0.2,65.59090586250932
44000.0,2112.0,46112.0,880000.0,0.1,279.3763268901962
28000.0,500.0,28500.0,200000.0,0.2,55.55032781396466
10500.0,500.0,11000.0,200000.0,0.2,44.5050466251696
28000.0,500.0,28500.0,200000.0,0.2,55.55032781396466
28000.0,500.0,28500.0,200000.0,0.2,55.55032781396466
22000.0,0.0,22000.0,86000.0,0.03,106.40146151178516
29000.0,0.0,29000.0,50360.0,0.04,104.98744516960298
34000.0,960.0,34960.0,400000.0,1.0,1027.813823482557
18500.0,500.0,19000.0,200000.0,1.0,123.70106993146236
8500.0,0.0,8500.0,40000.0,0.1,12.435855669527326
10500.0,0.0,10500.0,140000.0,0.25,44.5050466251696
13500.0,0.0,13500.0,141000.0,0.99,65.59090586250932
1155000.0,24000.0,1179000.0,10000000.0,22.0,1292.3860746374608
17000.0,0.0,17000.0,131998.0,0.1,125.88635998464376
8500.0,0.0,8500.0,24000.0,0.02,12.435855669527326
14000.0,0.0,14000.0,155500.0,0.2,167.51113249862598
9000.0,0.0,9000.0,15000.0,0.16,123.70106993146236
17000.0,0.0,17000.0,622000.0,0.8,37.23860419131993
11000.0,0.0,11000.0,241432.0,0.95,101.14276679835484
34000.0,720.0,34720.0,300000.0,0.2,1027.522420572668
9000.0,720.0,9720.0,300000.0,0.2,119.56175837218476
9000.0,720.0,9720.0,300000.0,0.2,123.70106993146236
14000.0,960.0,14960.0,400000.0,1.3,101.25160265835382
28500.0,500.0,29000.0,200000.0,0.2,307.9295489116877
142000.0,1920.0,143920.0,800000.0,3.2,656.7337779082133
13500.0,500.0,14000.0,200000.0,1.0,65.59090586250932
8500.0,0.0,8500.0,244695.62225519287,0.33,12.435855669527326
19000.0,0.0,19000.0,141000.0,0.25,59.97295110345033
10500.0,0.0,10500.0,14250.0,0.1,44.5050466251696
11000.0,0.0,11000.0,90000.0,0.78,101.14276679835484
34000.0,9600.0,43600.0,4000000.0,0.8,1027.813823482557
9000.0,0.0,9000.0,38200.0,1.02,123.70106993146236
18500.0,500.0,19000.0,200000.0,1.0,123.70106993146236
34000.0,960.0,34960.0,400000.0,1.0,1027.522420572668
13500.0,500.0,14000.0,200000.0,1.0,65.59090586250932
9000.0,500.0,9500.0,200000.0,1.0,119.56175837218476
9000.0,500.0,9500.0,200000.0,1.0,123.70106993146236
18500.0,500.0,19000.0,200000.0,1.0,123.70106993146236
34000.0,960.0,34960.0,400000.0,0.2,1027.522420572668
18500.0,500.0,19000.0,200000.0,0.2,123.70106993146236
27000.0,500.0,27500.0,200000.0,0.2,229.1555417742884
18000.0,0.0,18000.0,139350.0,2.0,119.56175837218476
31500.0,3360.0,34860.0,1400000.0,1.0,742.2191541838523
18500.0,500.0,19000.0,200000.0,1.0,123.70106993146236
9000.0,960.0,9960.0,400000.0,1.0,123.70106993146236
11000.0,0.0,11000.0,244695.62225519287,1.0,101.14276679835484
164500.0,4800.0,169300.0,2000000.0,4.6,252.4652679655452
122000.0,960.0,122960.0,400000.0,1.1,742.1509727380948
9000.0,0.0,9000.0,141000.0,0.25,119.56175837218476
11000.0,960.0,11960.0,400000.0,0.2,101.14276679835484
46000.0,500.0,46500.0,48500.0,1.0,805.3260863184059
283500.0,24000.0,307500.0,10000000.0,6.9,739.3845214254692
108000.0,500.0,108500.0,200000.0,3.5,229.1555417742884
38000.0,960.0,38960.0,400000.0,0.2,539.411885738438
13500.0,0.0,13500.0,33000.0,0.1,65.59090586250932
8500.0,0.0,8500.0,33000.0,0.1,12.435855669527326
13500.0,0.0,13500.0,33000.0,0.1,65.59090586250932
9000.0,0.0,9000.0,79560.0,0.0,119.56175837218476
9000.0,0.0,9000.0,244695.62225519287,1.0,119.56175837218476
9000.0,0.0,9000.0,244695.62225519287,1.0,119.56175837218476
9000.0,0.0,9000.0,244695.62225519287,1.0,123.70106993146236
46000.0,960.0,46960.0,400000.0,1.3,783.3946469055658
34000.0,960.0,34960.0,400000.0,1.0,1027.522420572668
17000.0,500.0,17500.0,200000.0,0.2,37.23860419131993
11000.0,500.0,11500.0,200000.0,0.2,101.14276679835484
29000.0,960.0,29960.0,400000.0,1.0,208.254310961311
34000.0,960.0,34960.0,400000.0,1.0,1027.522420572668
34000.0,960.0,34960.0,400000.0,1.0,1038.9839948816657
34000.0,960.0,34960.0,400000.0,1.0,1038.9839948816657
28500.0,0.0,28500.0,80000.0,0.1,307.9295489116877
34000.0,960.0,34960.0,400000.0,1.0,1027.522420572668
11000.0,960.0,11960.0,400000.0,1.0,101.14276679835484
27000.0,960.0,27960.0,400000.0,1.0,219.19671002094788
11000.0,960.0,11960.0,400000.0,1.0,101.14276679835484
9000.0,960.0,9960.0,400000.0,0.2,123.70106993146236
9000.0,960.0,9960.0,400000.0,0.1,119.56175837218476
11000.0,960.0,11960.0,400000.0,1.3,101.14276679835484
11000.0,960.0,11960.0,400000.0,1.0,101.14276679835484
535500.0,1440.0,536940.0,600000.0,16.5,742.2191541838523
11000.0,500.0,11500.0,13500.0,0.6,101.14276679835484
11000.0,960.0,11960.0,400000.0,0.5,101.14276679835484
145000.0,500.0,145500.0,200000.0,4.5,679.256058278359
34000.0,960.0,34960.0,400000.0,0.6,444.3405269446367
14000.0,0.0,14000.0,80990.0,0.1,167.51113249862598
19000.0,0.0,19000.0,159900.0,0.2,59.97295110345033
66000.0,500.0,66500.0,68000.0,1.0,2172.3248908011387
34000.0,960.0,34960.0,400000.0,0.3,1027.522420572668
51500.0,500.0,52000.0,200000.0,1.0,691.2817493517008
116000.0,960.0,116960.0,400000.0,3.9,668.8042906399945
29000.0,960.0,29960.0,400000.0,0.3,252.4652679655452
8500.0,0.0,8500.0,33000.0,0.1,12.435855669527326
13500.0,500.0,14000.0,200000.0,1.0,65.59090586250932
24500.0,500.0,25000.0,200000.0,1.0,119.56175837218476
